fc_id,em_id,score,label,cm_dist,moi_diff
G0239-F-000007,300972942,0,1.0,12.966691173596859,0.11489377119198312
TH-F-100099,331662710,0,1.0,33.15183192630841,0.0020991331613578056
TH-M-000021,604289581,0,0.3,20.328706539388303,0.2708263231806348
TH-M-200035,452971138,0,0.6,28.23386766673113,0.8036896182580952
TH-M-300017,947573616,0,0.2,31.639161572311668,0.23733403668539735
Trh-F-000008,1671638278,0,0.9,6.725872311506785,0.25295877396299193
VGlut-F-200319,424716408,0,0.5,5.434185189103452,0.08904312794385558
Cha-F-300344,5813053836,0,0.7,15.985962266243172,0.0467672209898085
Gad1-F-000694,1480525278,0,0.0,22.38582763605595,0.30968915545613507
Gad1-F-000703,424716408,0,0.1,19.590015188536416,0.04570118056216169
Gad1-F-100784,832016427,0,0.7,16.284666540795353,0.025873458753547067
Gad1-F-500004,294436967,0,0.7,23.274459041330402,0.07291081694176703
Gad1-F-500321,574377562,0,0.7,5.841823593215011,0.009900278426300821
Gad1-F-600604,1793403571,0,0.8,20.341357925639596,0.06524610716060425
TH-F-000036,859265651,0,0.0,18.841071305743405,0.8751533288580252
TH-F-200004,5813011298,0,0.6,13.359506637396716,0.12082368009500273
TH-F-200085,1131827390,0,0.8,13.136547475240247,0.07711051572997847
Trh-F-100001,1225290633,0,0.6,16.34955272705235,0.85645086821448
Trh-F-100066,5813062858,0,0.9,5.382720143855724,0.1568616802934831
VGlut-F-000177,5813056321,0,0.8,5.924834808538696,0.020515624128116867
VGlut-F-000463,1733677514,0,0.9,14.591564121503303,0.07318867780527238
VGlut-F-400757,1670597533,0,0.0,15.34564040065311,0.24300636454807029
Gad1-F-000694,5813057853,0,0.0,17.170777807031346,0.15096712353000732
Gad1-F-000694,1383016399,0,0.0,20.704959583357862,0.3117710656458898
Gad1-F-000703,421641859,0,0.0,40.56178803187546,0.11226102343989748
TH-M-100027,5813021583,0,0.0,49.28376992635146,0.1929413508434307
TH-M-200034,1406911688,0,0.0,22.526275972303637,0.15112430122645382
VGlut-F-400757,1640555311,0,0.0,17.12332026738465,0.17588437983490587
5-HT1B-F-500007,5813054777,0,0.7,14.765806059874498,0.08167786239111127
Gad1-F-000394,5901206553,0,0.3,20.414495011770697,0.13893607537397173
TH-F-000007,950229431,0,0.8,24.53673360335707,0.07759902660572036
TH-F-100061,792040520,0,0.8,15.586957867896169,0.01842248089078477
TH-M-000064,792040520,0,0.9,13.94649067405789,0.035860044344620125
TH-M-100005,950229431,0,0.7,37.75801138620055,0.1003844040851436
Trh-F-100092,5901206553,0,0.3,18.338992938526207,0.3773720008098989
Trh-F-400082,1671620613,0,0.4,21.84486978968194,0.07973081838557543
Trh-M-100046,891771553,0,0.0,88.94756793719431,0.3891241118247812
Trh-M-200112,2069652905,0,0.2,22.365540966040516,0.7201704154553251
VGlut-F-000475,5901206553,0,0.2,15.449406081209597,0.04310915405918547
Cha-F-000427,579576294,0,0.7,23.260765126877093,0.03268761988844982
TH-M-000030,736860990,0,0.0,67.15716163262108,0.7478913374979904
TH-M-200035,5813078062,0,0.0,24.387829001992188,0.7317861350264371
fru-M-400329,298258399,0,0.8,18.73115506860592,0.046373214710768315
fru-M-800135,360591860,0,0.8,30.274144864764672,0.0410574404389554
Cha-F-200447,667931999,0,0.7,4.82591752876718,0.031966819099802195
Cha-F-500144,1076159832,0,0.8,9.073424650722812,0.7451405966920019
Gad1-F-400249,948709216,0,0.7,12.223263571084216,0.05318921178368779
Gad1-F-700047,1230026402,0,0.8,18.171045814115278,0.20764857782463345
TH-M-700001,5813054384,0,0.7,38.697751875663066,0.08077079918759054
Trh-F-300072,947573616,0,0.6,44.02356371189975,0.21608884245611146
Trh-M-000077,5813057579,0,0.5,21.67749078218325,0.19226717666749094
Trh-M-000140,5813054384,0,0.7,20.4046911803158,0.06201045075487414
Trh-M-300128,5813049824,0,0.5,12.603053019255613,0.07416135367946562
VGlut-F-000077,550404663,0,0.7,12.30593009043895,0.22884773103189915
VGlut-F-000091,739256609,0,0.8,11.804069015301693,0.7062123600155601
VGlut-F-400014,550404663,0,0.7,12.400790386789396,0.2225987185220286
VGlut-F-700399,1255630350,0,0.7,24.6157712522675,0.036469394767024765
VGlut-F-100374,1888199872,0,0.8,15.14187634194794,0.4123141104966445
fru-M-200408,5813054384,0,0.7,44.84395245079088,0.05677199865502585
Trh-M-200022,297938585,0,0.8,52.84648583218875,1.1274971227169124
5-HT1B-F-500017,1946178096,0,0.5,21.115964483760802,0.6426169977991909
