fc_id,em_id,label,similarity_score_x,similarity_score_y
TH-F-100083,331662710,1.0,0.5469208568431282,0.6596
TH-F-100083,331662710,1.0,0.5469208568431282,0.6596
TH-F-100083,331662710,1.0,0.5469208568431282,0.6596
TH-F-100083,331662710,1.0,0.5469208568431282,0.6596
TH-F-100099,331662710,1.0,0.512311327400936,0.6345
TH-F-100099,331662710,1.0,0.512311327400936,0.6345
TH-F-100099,331662710,1.0,0.512311327400936,0.6345
TH-F-100099,331662710,1.0,0.512311327400936,0.6345
TH-F-200081,331662710,1.0,0.488023989482662,0.6173
TH-F-200081,331662710,1.0,0.488023989482662,0.6173
TH-F-200081,331662710,1.0,0.488023989482662,0.6173
TH-F-200081,331662710,1.0,0.488023989482662,0.6173
TH-F-100083,329970706,0.0,0.1078664843190581,0.2604
TH-F-100083,329970706,0.0,0.1078664843190581,0.2604
TH-F-100083,329970706,0.0,0.1078664843190581,0.2604
TH-F-100083,329970706,0.0,0.1078664843190581,0.2604
