fc_id,em_id,label_x,label_y,_merge
Cha-F-400237,1135441187,1.0,,left_only
Trh-M-200043,1671620613,0.0,,left_only
Trh-F-100001,5813062858,1.0,,left_only
Cha-F-000088,1704347707,1.0,,left_only
VGlut-F-400757,1640922516,0.0,,left_only
Cha-F-000088,5813056598,1.0,,left_only
Cha-F-200299,1135441187,1.0,,left_only
VGlut-F-500876,1640922516,0.0,,left_only
VGlut-F-500876,1667251683,0.0,,left_only
Trh-M-100024,5813049824,1.0,,left_only
TH-F-200026,330640044,0.0,,left_only
Trh-M-400023,953414780,1.0,,left_only
Trh-M-100024,946308203,1.0,,left_only
TH-F-100036,5812980529,1.0,,left_only
VGlut-F-800130,1671257931,1.0,,left_only
VGlut-F-200319,5813055865,1.0,,left_only
VGlut-F-800130,2135408892,1.0,,left_only
Trh-M-400110,953414780,1.0,,left_only
TH-F-000019,5813021602,1.0,,left_only
Trh-F-400055,1070426862,1.0,,left_only
Trh-F-300112,953414780,1.0,,left_only
Trh-F-300112,922069357,1.0,,left_only
VGlut-F-800130,1640555311,1.0,,left_only
Trh-M-400110,957506896,1.0,,left_only
Cha-F-000239,1733677514,0.0,,left_only
TH-F-000036,5813011298,0.0,,left_only
VGlut-F-400757,5901196806,1.0,,left_only
Trh-M-400110,1070426862,1.0,,left_only
VGlut-F-400186,1700644008,1.0,,left_only
TH-M-300005,1289359184,1.0,,left_only
VGlut-F-500876,5813034455,1.0,,left_only
TH-F-100050,1289359184,1.0,,left_only
TH-M-000032,5813021602,1.0,,left_only
Trh-F-400055,922069357,1.0,,left_only
VGlut-F-400898,1700644008,1.0,,left_only
VGlut-F-700541,1700644008,1.0,,left_only
VGlut-F-400186,1888199872,1.0,,left_only
Trh-M-400131,953414780,1.0,,left_only
VGlut-F-200392,1135441187,0.0,,left_only
Trh-M-300138,953414780,1.0,,left_only
VGlut-F-700541,5901196806,1.0,,left_only
VGlut-F-500335,5813034455,1.0,,left_only
TH-M-200013,1035601661,1.0,,left_only
Trh-M-300138,1070426862,1.0,,left_only
VGlut-F-400898,5901196806,1.0,,left_only
VGlut-F-700541,5813034455,1.0,,left_only
Trh-M-400052,953414780,1.0,,left_only
Trh-M-400052,1070426862,1.0,,left_only
Trh-M-400052,922069357,1.0,,left_only
Trh-M-400131,1070426862,1.0,,left_only
Trh-M-300140,922069357,1.0,,left_only
Trh-M-300140,1070426862,1.0,,left_only
fru-F-000094,328611004,0.0,,left_only
VGlut-F-500335,1888199872,1.0,,left_only
VGlut-F-000158,296543992,0.0,,left_only
VGlut-F-400184,1888199872,1.0,,left_only
VGlut-F-400184,5901196806,1.0,,left_only
VGlut-F-500335,5901196806,1.0,,left_only
TH-F-000019,361005850,0.0,,left_only
VGlut-F-400184,5813034455,1.0,,left_only
TH-M-000029,361005850,0.0,,left_only
TH-F-200026,5813049380,0.0,,left_only
fru-F-000094,422738252,0.0,,left_only
TH-M-000032,361005850,0.0,,left_only
TH-M-100016,361312808,0.0,,left_only
TH-F-100075,5813021602,0.0,,left_only
VGlut-F-500002,5813021602,0.0,,left_only
VGlut-F-000158,297917475,0.0,,left_only
TH-F-200064,361312808,0.0,,left_only
TH-F-200081,361312808,0.0,,left_only
fru-F-000094,548712377,0.0,,left_only
TH-M-300063,5813049380,0.0,,left_only
VGlut-F-000463,610274046,0.0,,left_only
TH-M-200095,548712377,0.0,,left_only
VGlut-F-200319,5813068669,0.0,,left_only
VGlut-F-200036,5813021583,0.0,,left_only
Trh-M-300071,957506896,1.0,,left_only
Trh-M-300071,1070426862,1.0,,left_only
TH-F-100095,361312808,0.0,,left_only
TH-F-100075,297251714,0.0,,left_only
VGlut-F-500002,296139882,0.0,,left_only
TH-M-000045,361312808,0.0,,left_only
TH-F-200026,331662710,0.0,,left_only
TH-F-000009,5813021112,0.0,,left_only
VGlut-F-200392,950880008,0.0,,left_only
TH-F-100095,328611004,0.0,,left_only
TH-F-200081,328611004,0.0,,left_only
Trh-M-300071,953414780,1.0,,left_only
Cha-F-100135,422738252,0.0,,left_only
TH-F-300037,328611004,0.0,,left_only
TH-F-200034,328611004,0.0,,left_only
TH-M-300005,579268807,0.0,,left_only
TH-F-200037,422751191,0.0,,left_only
TH-F-200037,330640044,0.0,,left_only
TH-F-100095,5813049380,0.0,,left_only
TH-F-100083,5813049380,0.0,,left_only
TH-F-200037,517514142,0.0,,left_only
VGlut-F-200036,823058891,0.0,,left_only
TH-F-100099,328611004,0.0,,left_only
VGlut-F-000111,1043705078,1.0,,left_only
TH-F-200037,328611004,0.0,,left_only
TH-M-000045,328611004,0.0,,left_only
VGlut-F-000303,575768294,0.0,,left_only
TH-M-200064,328611004,0.0,,left_only
TH-F-200081,5813049380,0.0,,left_only
TH-F-300037,393063351,0.0,,left_only
TH-F-000009,797442049,0.0,,left_only
VGlut-F-200062,5813021602,0.0,,left_only
TH-M-200035,543692985,0.0,,left_only
TH-F-200064,5813049380,0.0,,left_only
Cha-F-300267,298258399,0.0,,left_only
VGlut-F-100035,5813011119,0.0,,left_only
Trh-M-100020,328611004,0.0,,left_only
TH-F-000091,298258399,0.0,,left_only
Trh-M-700039,329897255,0.0,,left_only
TH-F-100083,298258399,0.0,,left_only
TH-F-300078,447599745,0.0,,left_only
TH-F-300037,267551639,0.0,,left_only
TH-M-200049,267551639,0.0,,left_only
TH-F-200034,267551639,0.0,,left_only
TH-M-000045,267551639,0.0,,left_only
Trh-M-100024,5813055834,1.0,,left_only
VGlut-F-500876,1669924220,0.0,,left_only
Trh-M-500163,768555687,1.0,,left_only
TH-M-000029,5813021602,1.0,,left_only
Trh-F-400055,953414780,1.0,,left_only
Trh-F-300112,5813053851,1.0,,left_only
VGlut-F-400049,297251714,0.0,,left_only
VGlut-F-500876,5901196806,1.0,,left_only
Trh-M-400023,957506896,1.0,,left_only
VGlut-F-400757,5813034455,1.0,,left_only
VGlut-F-400184,1700644008,1.0,,left_only
VGlut-F-200319,360259229,0.0,,left_only
Cha-F-000239,610274029,0.0,,left_only
TH-M-200010,548712377,1.0,,left_only
TH-M-000032,296139882,0.0,,left_only
TH-F-200004,5813021602,0.0,,left_only
TH-M-200095,422751191,1.0,,left_only
TH-M-200010,5813020996,0.0,,left_only
TH-F-300037,361312808,0.0,,left_only
TH-F-200034,361312808,0.0,,left_only
TH-M-200049,361312808,0.0,,left_only
VGlut-F-000463,610274029,0.0,,left_only
TH-M-200064,361312808,0.0,,left_only
VGlut-F-500002,297251714,0.0,,left_only
TH-M-300063,331662710,0.0,,left_only
TH-F-200004,361005850,0.0,,left_only
TH-M-000008,579268807,0.0,,left_only
TH-M-100016,328611004,0.0,,left_only
Cha-F-100135,5813020996,0.0,,left_only
TH-F-200096,5813049380,0.0,,left_only
TH-F-200064,328611004,0.0,,left_only
TH-F-200034,393063351,0.0,,left_only
TH-M-200064,298258399,0.0,,left_only
TH-F-100050,5813041180,0.0,,left_only
