fc_id,em_id,similarity score,inverse score,label,asymmetry
5HT1A-F-200016,1191315642,0.3513592907579898,0.3071356339084088,0.8,0.04422365684958096
Cha-F-400298,1167304403,0.4834429556831955,0.4224283299470013,0.7,0.061014625736194206
Cha-F-400298,1261000309,0.504582822961231,0.4409714650020725,0.7,0.06361135795915851
Gad1-F-700172,5813039309,0.2029217559015095,0.19181645212371,0.0,0.011105303777799475
TH-F-100083,331662710,0.4212049478540293,0.350307675890369,1.0,0.0708972719636603
TH-F-200037,331662710,0.3881571045192815,0.3391816253531787,1.0,0.04897547916610279
TH-F-200096,331662710,0.4389964390017785,0.3409407987120379,1.0,0.09805564028974056
TH-F-200106,5813041180,0.3876246787396317,0.4052655173770401,0.8,0.017640838637408396
TH-M-000008,1131827390,0.1898252856304127,0.2631930275230855,0.3,0.07336774189267278
TH-M-000021,604289581,0.2990881002085561,0.3713162425790748,0.3,0.07222814237051872
TH-M-000021,550404663,0.1644460860260412,0.252431429526658,0.2,0.08798534350061679
TH-M-000032,859265651,0.5476773986955122,0.4762432528754663,0.8,0.07143414582004592
TH-M-000032,5813027592,0.3470761660486251,0.3628630844982949,0.7,0.015786918449669785
TH-M-200035,294436967,0.3891461850980631,0.3769286425274777,0.8,0.012217542570585382
TH-M-200035,452971138,0.1801942670973487,0.1330462295213166,0.6,0.047148037576032115
TH-M-300017,5813054384,0.3116996063903746,0.370397602160313,0.8,0.058697995769938394
TH-M-300017,947573616,0.3246070623942789,0.3325337791056335,0.2,0.007926716711354587
Trh-F-000008,1671638278,0.4273989659621814,0.4013713729867406,0.9,0.026027592975440828
Trh-F-100052,361312808,0.2472536633644491,0.2204444923235608,0.5,0.026809171040888286
Trh-M-100024,329289084,0.1515352923043204,0.0658185409186974,0.8,0.08571675138562299
Trh-M-700039,5813021583,-0.0073248594753958,0.1258980916003078,0.4,0.1332229510757036
Trh-M-700039,981000564,-0.0420684422251446,0.0398760156064772,0.3,0.0819444578316218
VGlut-F-200143,328870472,0.5318966765822938,0.4823053096319572,0.8,0.04959136695033656
VGlut-F-200143,298612190,0.3380821000292321,0.3919501024325192,0.4,0.053868002403287096
VGlut-F-200251,548712377,0.4666219680459651,0.4511930900352924,0.8,0.01542887801067272
VGlut-F-200251,5813020996,0.3545184751722188,0.3802437066577324,0.8,0.02572523148551359
VGlut-F-200319,424716408,0.3641750042487969,0.3706111477269711,0.5,0.006436143478174228
VGlut-F-200392,857793013,0.2368449689557175,0.2816157197707892,0.3,0.0447707508150717
VGlut-F-400186,1762359683,0.353733606126618,0.3087843413148102,0.0,0.04494926481180783
VGlut-F-400186,1916800213,0.3009610854259651,0.2989803424405027,0.0,0.0019807429854624137
VGlut-F-700541,1762359683,0.3549849615823466,0.29006452532079,0.0,0.06492043626155658
VGlut-F-700541,1888199872,0.2471573610493391,0.2469288967309379,0.7,0.00022846431840120585
Cha-F-000088,1640887603,0.3307637041921357,0.2416622628042475,0.7,0.0891014413878882
Cha-F-000088,5813047691,0.3481172637518871,0.2492425486432564,0.7,0.09887471510863072
Cha-F-000239,1640572741,0.1214803968517823,0.0574141363121945,0.0,0.0640662605395878
Cha-F-000239,5813054726,0.1054770226822975,0.0691820917073073,0.0,0.0362949309749902
Cha-F-000329,640539567,0.4117927393034775,0.34128849741623,0.7,0.07050424188724747
Cha-F-000329,1043705078,0.3147743317791727,0.2824660632344283,0.7,0.03230826854474439
Cha-F-000427,573670049,0.3597921388536091,0.3839572310319109,0.7,0.02416509217830176
Cha-F-000427,573333284,0.3890457844621185,0.3834284034183092,0.7,0.005617381043809322
Cha-F-000461,487144598,0.2333044198462817,0.3429851034768558,0.3,0.1096806836305741
Cha-F-100135,393063351,0.4146007404787438,0.3513470070321237,0.7,0.06325373344662011
Cha-F-200299,5813027276,0.5526516305217563,0.4632160743370353,0.6,0.08943555618472093
Cha-F-200299,1321564092,0.4978319357552439,0.389380405812373,0.5,0.10845152994287094
Cha-F-300267,328611004,0.5129702810071579,0.4387846797958291,0.7,0.07418560121132883
Cha-F-300344,5812978978,0.4208435555559905,0.3609085292077456,0.7,0.059935026348244935
Cha-F-300344,5813053836,0.3085553942712729,0.3524866442154514,0.7,0.04393124994417852
Cha-F-300344,859507274,0.4233276343395638,0.3710469442588929,0.7,0.05228069008067088
Cha-F-400237,5813098368,0.4481771109408048,0.3993071682027899,0.3,0.048869942738014926
Cha-F-400237,5813027276,0.5493547323693434,0.4452832361889107,0.4,0.10407149618043271
Cha-F-500071,1105169664,0.3138124951993927,0.3595298946686936,0.8,0.04571739946930092
Cha-F-500071,1012954687,0.1843153869189503,0.142482780245543,0.5,0.0418326066734073
Cha-F-500310,5813009312,0.349785409808062,0.372781868977788,0.1,0.02299645916972598
Cha-F-700236,360259229,0.2022608089240768,0.2529364250474189,0.0,0.05067561612334212
Cha-F-800090,296139882,0.4655892372293724,0.4810216735603059,0.6,0.015432436330933497
Cha-F-800090,297251714,0.4467394570672557,0.4961519231873806,0.6,0.0494124661201249
E0585-F-600004,5813010510,0.2805969138655709,0.2448067201507056,0.5,0.035790193714865304
GH146-M-000001,610274029,0.2503503658294935,0.2416940974267034,0.8,0.008656268402790102
Gad1-F-000245,953414780,0.0361818953368726,0.2402809191987291,0.0,0.2040990238618565
Gad1-F-000694,5813033371,0.2880409764904477,0.2903618141599844,0.3,0.002320837669536724
Gad1-F-000694,1480525278,0.1800026361497143,0.2277752597951037,0.0,0.04777262364538942
Gad1-F-000703,424716408,0.3875695380484836,0.4374947632024889,0.1,0.049925225154005326
Gad1-F-000703,5813068669,0.1138918148117185,0.2798957741626882,0.2,0.16600395935096968
Gad1-F-100171,1224595608,0.3709329407887237,0.3884398816043579,0.7,0.017506940815634198
Gad1-F-100784,832016427,0.2974011917251228,0.3950005976599888,0.7,0.09759940593486599
