fc_id,em_id,confidence
5-HT1B-F-500007,5813018460,0.3
5-HT1B-F-500007,5813054777,0.7
Cha-F-100152,1671620613,0.4
Cha-F-100152,5813018460,0.3
Cha-F-100358,1671620613,0.4
Cha-F-100358,1578826464,0.5
Cha-F-300304,5813056598,0.5
Cha-F-300304,5813054725,0.5
Cha-F-300425,1671620613,0.4
G0239-F-000003,300972942,1.0
G0239-F-000003,5813068729,1.0
GH146-M-000001,610274046,0.9
GH146-M-000001,610274029,0.9
Gad1-F-000394,5901206553,0.3
Gad1-F-000429,5813034493,0.7
Gad1-F-000429,1730327790,0.7
Gad1-F-100409,1640572741,0.6
Gad1-F-100409,5901218894,0.6
Gad1-F-200461,5901196806,0.2
Gad1-F-200461,2069652905,0.4
Gad1-F-400473,1669924220,0.8
Gad1-F-400473,5901206553,0.3
Gad1-F-500348,5813027235,0.1
Gad1-F-600662,5813018460,0.3
Gad1-F-600662,1671620613,0.4
Gad1-F-700086,1888199872,0.1
Gad1-F-700086,5813034455,0.1
TH-F-000003,792040520,0.7
TH-F-000007,792040520,0.8
TH-F-000007,950229431,0.8
TH-F-000019,859265651,0.8
TH-F-000019,5813027592,0.7
TH-F-000086,792040520,0.8
TH-F-000086,950229431,0.8
TH-F-100020,792040520,0.8
TH-F-100020,950229431,0.8
TH-F-100061,792040520,0.8
TH-F-100103,792040520,0.8
TH-F-300046,1289359184,0.9
TH-M-000029,859265651,0.8
TH-M-000029,510049477,0.6
TH-M-000064,792040520,0.9
TH-M-000064,950229431,0.8
TH-M-100000,792040520,0.8
TH-M-100000,950229431,0.8
TH-M-100005,792040520,0.7
TH-M-100005,950229431,0.7
TH-M-100063,1198330286,0.8
TH-M-100083,792040520,0.8
TH-M-100083,950229431,0.7
TH-M-200011,792040520,0.7
TH-M-200052,792040520,0.7
TH-M-300030,792040520,0.8
TH-M-300030,950229431,0.8
Trh-F-100038,1671638278,0.9
Trh-F-100080,2069652905,0.2
Trh-F-100080,5901206553,0.3
Trh-F-100088,1640922516,0.8
Trh-F-100088,5813034493,0.7
Trh-F-100092,5901206553,0.3
Trh-F-100092,5813018460,0.3
Trh-F-200060,5813018460,0.3
Trh-F-200060,1669924220,0.3
Trh-F-200123,2069652905,0.3
Trh-F-200123,1671620613,0.4
Trh-F-300102,5901206553,0.3
Trh-F-300102,5813018460,0.3
Trh-F-300133,1671620613,0.4
Trh-F-300133,1702310266,0.4
Trh-F-400082,5813018460,0.3
Trh-F-400082,1671620613,0.4
Trh-F-500108,5901206553,0.3
Trh-F-500108,5813018460,0.3
Trh-F-500186,2069652905,0.2
Trh-F-500186,1671620613,0.4
Trh-F-700065,5813018460,0.3
Trh-M-000132,487187476,0.9
Trh-M-000172,1671638278,0.9
Trh-M-000182,5812980746,0.9
Trh-M-100002,519046655,0.9
Trh-M-100004,5901206553,0.3
Trh-M-100004,1920590638,0.2
Trh-M-100025,1225290633,0.8
Trh-M-100025,673746277,0.0
Trh-M-100046,891771553,0.0
Trh-M-100071,673746277,0.0
Trh-M-100071,1225290633,0.8
Trh-M-200107,519046655,0.8
Trh-M-200112,1671620613,0.6
Trh-M-200112,2069652905,0.2
Trh-M-300134,988567837,0.8
Trh-M-300138,5813053851,0.8
Trh-M-400002,519046655,0.8
Trh-M-400131,957506896,0.8
Trh-M-800009,1048215779,1.0
VGlut-F-000067,1289359184,0.8
