fc_id,em_id,model_predict,binary_label,pred_std
Trh-M-700017,1344042108,0.32317898,0,0.0
Trh-M-700017,921814579,0.095291525,0,0.0
Trh-M-700017,1168733095,0.06661704,0,0.0
Trh-M-700017,1162866390,0.023204792,0,0.0
Trh-M-700017,1160854977,0.42920223,0,0.0
Trh-M-700017,1131836121,0.044414826,0,0.0
Trh-M-700017,1345048347,0.7460182,1,0.0
Trh-M-700017,1131836229,0.022859251,0,0.0
Trh-M-700017,759464163,0.48634225,0,0.0
Trh-M-700017,1131826900,0.15644228,0,0.0
fru-M-400051,5813049920,0.061400786,0,0.0
fru-M-400051,797075463,0.076306865,0,0.0
fru-M-400051,694126781,0.20732872,0,0.0
fru-M-400051,829145708,0.07139814,0,0.0
fru-M-400051,1387773463,0.060197752,0,0.0
fru-M-400051,1380979698,0.068341255,0,0.0
fru-M-400051,1231239491,0.07962179,0,0.0
fru-M-400051,5813041323,0.05458349,0,0.0
fru-M-400051,5901219320,0.033120785,0,0.0
fru-M-400051,670547235,0.24181406,0,0.0
Cha-F-100218,1065410141,0.10686273,0,0.0
Cha-F-100218,1189891402,0.15674236,0,0.0
Cha-F-100218,1127476096,0.12583232,0,0.0
Cha-F-100218,1138696627,0.35164535,0,0.0
Cha-F-100218,1200027441,0.04726463,0,0.0
Cha-F-100218,424193190,0.0056847963,0,0.0
Cha-F-100218,1167995070,0.1154396,0,0.0
Cha-F-100218,1066420480,0.031658147,0,0.0
Cha-F-100218,1320480289,0.03144302,0,0.0
Cha-F-100218,1168664495,0.045868687,0,0.0
fru-F-700254,1198680249,0.34494022,0,0.0
fru-F-700254,819440815,0.9501419,1,0.0
fru-F-700254,1198334861,0.3801193,0,0.0
fru-F-700254,943929688,0.8279156,1,0.0
fru-F-700254,1198684596,0.2859638,0,0.0
fru-F-700254,5813049948,0.48961058,0,0.0
fru-F-700254,1072779298,0.8723474,1,0.0
fru-F-700254,1198675740,0.3945456,0,0.0
fru-F-700254,1228692168,0.37920034,0,0.0
fru-F-700254,1198330641,0.3241473,0,0.0
VGlut-F-000142,911129339,0.16722068,0,0.0
VGlut-F-000142,942522378,0.5707228,1,0.0
VGlut-F-000142,911565408,0.29034826,0,0.0
VGlut-F-000142,941482720,0.14010195,0,0.0
VGlut-F-000142,911911699,0.31817502,0,0.0
VGlut-F-000142,911470352,0.27112952,0,0.0
VGlut-F-000142,911906936,0.2110693,0,0.0
VGlut-F-000142,912243353,0.23865823,0,0.0
VGlut-F-000142,910442782,0.11244662,0,0.0
VGlut-F-000142,911911193,0.3626974,0,0.0
Gad1-F-800185,1127436650,0.4375132,0,0.0
Gad1-F-800185,980089353,0.8862691,1,0.0
Gad1-F-800185,1135907207,0.30680132,0,0.0
Gad1-F-800185,1033192275,0.20089734,0,0.0
Gad1-F-800185,1103577592,0.9468392,1,0.0
Gad1-F-800185,1008395737,0.6684303,1,0.0
Gad1-F-800185,1073504644,0.19486223,0,0.0
Gad1-F-800185,5813081494,0.94895697,1,0.0
Gad1-F-800185,1102454255,0.20660676,0,0.0
Gad1-F-800185,786989471,0.39197665,0,0.0
Gad1-F-700439,1258755799,0.19546378,0,0.0
Gad1-F-700439,516965856,0.1770569,0,0.0
Gad1-F-700439,1065410141,0.2935207,0,0.0
Gad1-F-700439,1127476096,0.31653905,0,0.0
Gad1-F-700439,911915224,0.51141554,1,0.0
Gad1-F-700439,1138696627,0.5430446,1,0.0
Gad1-F-700439,1261130112,0.20391746,0,0.0
Gad1-F-700439,826659627,0.5399337,1,0.0
Gad1-F-700439,1168660239,0.26627377,0,0.0
Gad1-F-700439,1168664495,0.22821271,0,0.0
TH-M-200054,1510648834,0.75657386,1,0.0
TH-M-200054,1729637685,0.60731703,1,0.0
TH-M-200054,1573551885,0.77682775,1,0.0
TH-M-200054,582148591,0.104513705,0,0.0
TH-M-200054,454252960,0.13637978,0,0.0
TH-M-200054,1261000309,0.07848971,0,0.0
TH-M-200054,1231044615,0.13277373,0,0.0
TH-M-200054,1479623035,0.644997,1,0.0
TH-M-200054,5812979148,0.93052596,1,0.0
TH-M-200054,1729935421,0.76969534,1,0.0
Gad1-F-400267,1510648834,0.06153713,0,0.0
Gad1-F-400267,1348057533,0.10490043,0,0.0
Gad1-F-400267,1142365351,0.09361545,0,0.0
Gad1-F-400267,1204391417,0.07134746,0,0.0
Gad1-F-400267,986828383,0.04853033,0,0.0
Gad1-F-400267,1448929233,0.014273685,0,0.0
Gad1-F-400267,1228683492,0.022326492,0,0.0
Gad1-F-400267,1014474192,0.9793692,1,0.0
Gad1-F-400267,1379087619,0.2753341,0,0.0
Gad1-F-400267,5813041405,0.97542477,1,0.0
VGlut-F-600733,1070098366,0.7694439,1,0.0
VGlut-F-600733,978358080,0.83607584,1,0.0
VGlut-F-600733,915615087,0.08944278,0,0.0
VGlut-F-600733,1009371416,0.2127168,0,0.0
VGlut-F-600733,1387583807,0.024714597,0,0.0
VGlut-F-600733,1008395737,0.12091212,0,0.0
VGlut-F-600733,1167304403,0.031304426,0,0.0
VGlut-F-600733,1137210821,0.032018013,0,0.0
VGlut-F-600733,1195999722,0.2968985,0,0.0
VGlut-F-600733,1131822530,0.8761085,1,0.0
VGlut-F-600188,2155574077,0.21644734,0,0.0
VGlut-F-600188,5812987034,0.038005713,0,0.0
VGlut-F-600188,1940069053,0.03392885,0,0.0
VGlut-F-600188,1222876929,0.053189803,0,0.0
VGlut-F-600188,1875625119,0.53876144,1,0.0
VGlut-F-600188,1815579306,0.048837695,0,0.0
VGlut-F-600188,5813055134,0.08147535,0,0.0
VGlut-F-600188,1140923511,0.13474871,0,0.0
VGlut-F-600188,1909707812,0.03834888,0,0.0
VGlut-F-600188,1440462757,0.04146598,0,0.0
VGlut-F-400437,1077752344,0.19442199,0,0.0
VGlut-F-400437,1137422212,0.16486579,0,0.0
VGlut-F-400437,1107418837,0.16808411,0,0.0
VGlut-F-400437,1076729207,0.18422318,0,0.0
VGlut-F-400437,1046385229,0.21090972,0,0.0
VGlut-F-400437,1078443321,0.23791718,0,0.0
VGlut-F-400437,1077415831,0.249785,0,0.0
VGlut-F-400437,1046039966,0.18738924,0,0.0
VGlut-F-400437,1046385084,0.1876687,0,0.0
VGlut-F-400437,1076729233,0.20237102,0,0.0
fru-F-000017,723153828,0.940104,1,0.0
fru-F-000017,416508862,0.74504673,1,0.0
fru-F-000017,723158245,0.81867546,1,0.0
fru-F-000017,1068613282,0.8382351,1,0.0
fru-F-000017,754188911,0.859516,1,0.0
fru-F-000017,5812987762,0.85775524,1,0.0
fru-F-000017,753847960,0.84301764,1,0.0
fru-F-000017,631737164,0.68373233,1,0.0
fru-F-000017,5812982371,0.8963722,1,0.0
fru-F-000017,631400190,0.78665936,1,0.0
VGlut-F-700287,880875840,0.7385198,1,0.0
VGlut-F-700287,704233784,0.3057793,0,0.0
VGlut-F-700287,977387419,0.5637201,1,0.0
VGlut-F-700287,5813061512,0.5868657,1,0.0
VGlut-F-700287,912951014,0.8000706,1,0.0
VGlut-F-700287,1316077922,0.762599,1,0.0
VGlut-F-700287,1543535599,0.47446018,0,0.0
VGlut-F-700287,882239837,0.7149566,1,0.0
VGlut-F-700287,850194651,0.7242771,1,0.0
VGlut-F-700287,550081497,0.68803203,1,0.0
Gad1-F-600209,1101845661,0.66807324,1,0.0
